'7p5um_afterProtein_0'	'7p5um_afterProtein_1'	'7p5um_afterProtein_2'	'7p5um_afterProtein_3'	'7p5um_afterProtein_4'	'7p5um_beforeProtein_0'	'7p5um_beforeProtein_1'	'7p5um_beforeProtein_2'	'7p5um_beforeProtein_3'	'7p5um_beforeProtein_4'	'7p5um_duringProtein_0'	'7p5um_duringProtein_1'	'7p5um_duringProtein_2'	'7p5um_duringProtein_3'	'7p5um_duringProtein_4'
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1.110223024625157e-16	5.551115123125783e-17	0	5.551115123125783e-17	0	0	-5.551115123125783e-17	0	-1.110223024625157e-16	0	0	2.775557561562891e-17	-5.551115123125783e-17	-5.551115123125783e-17	-5.551115123125783e-17
-0.0005457577389090806	-0.0002762141891801684	-0.0008147968966127905	0.0001895771539996427	-0.0005200547115673526	0.0006166612043109199	-4.142922064354071e-06	-0.0003756797604362871	0.0003084908588556479	-0.0002262867994187179	0.0003285742237529865	-0.000337295100698326	-0.000408870823992602	6.323115362111276e-05	0.0003850672206290873
-0.001524515553158801	-0.0005906118572053254	0.0001779416529816835	-0.00033018864747697	-0.0007110015461659902	0.000114935848255171	0.0003440014544452974	-0.000373536461465318	5.784635786876269e-06	0.0003121929005279744	-0.001202308608907243	-0.0002740160199073416	8.772888994462713e-05	0.0009271497885698365	0.0007216710119047343
-0.00124470938357657	0.0002056950962014414	0.0008286802014279004	-0.0005023165611673375	-0.0006694463289771413	0.0008441186922187871	0.0005752771441799864	-0.0006415171983438217	-0.0001734142069960143	-0.000176450806357864	-0.002140836072294983	0.0006837124368395814	-0.0002269371104905993	0.00154141904444044	0.0003079055228677463
-0.001907190740689235	-0.0001201499596438782	0.001062460000475385	-0.0008268031019083022	-0.001117956598645886	0.0003549655940675578	0.001177062991562117	-0.0002276509046520436	-0.0007685781794894431	0.0007426278023052735	-0.00118603939548223	-0.000215526310889419	0.0007629430875636389	0.001273790320651058	8.44928705433512e-05
-0.00276642972078478	-0.00105103375810911	0.0003331096110305021	-0.0001338374998310909	-0.001424520880637381	0.000517447761737122	0.0006161289917541724	0.0006055389637470432	-0.0004778432673586686	0.0004397726901468335	-0.001806829423696255	-0.0002143404723299464	0.0007537605501999889	0.002575253135914501	0.0006136983017218656
-0.003505504336110854	-0.000843586415410269	0.00056173534028503	0.0005255452244620207	-0.001976670802446234	0.0006731750469887166	0.001040931403673395	0.001218268685641122	-0.001048128596759512	-0.0003561324638632346	-0.002512256999786522	-0.000867107340629697	0.0001968235105977989	0.00201648847354291	0.0005698360385226753
-0.004070019687675175	-0.0005575373685937635	0.0007985018333483973	0.001186636898283355	-0.00164144502423258	0.001824987764021735	0.0001621048970533168	0.001554172242438479	-0.001005873960006898	-0.001212096323614298	-0.001203177008351153	-0.001411692901820805	0.0003119550762498147	0.002450406932629434	0.0006767227256190833
-0.003661371532017177	-0.001296027505381936	0.001402714072099243	0.0006976407158439946	-0.001561108289181545	0.00227040062128836	0.0002057253265991821	0.00204412231560791	-0.00191151361605213	-0.0007609148968041879	0.0001485082925414272	-0.0006560134216693075	0.0006467684989905353	0.002612827086379832	0.001005847758207778
