'5um_afterProtein_0'	'5um_afterProtein_1'	'5um_afterProtein_2'	'5um_afterProtein_3'	'5um_afterProtein_4'	'5um_beforeProtein_0'	'5um_beforeProtein_1'	'5um_beforeProtein_2'	'5um_beforeProtein_3'	'5um_beforeProtein_4'	'5um_duringProtein_0'	'5um_duringProtein_1'	'5um_duringProtein_2'	'5um_duringProtein_3'	'5um_duringProtein_4'
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.110223024625157e-16	0	2.775557561562891e-17	6.938893903907228e-18	0	0	-6.938893903907228e-18	0	0	5.551115123125783e-17	0	2.775557561562891e-17	3.469446951953614e-18	2.775557561562891e-17	0
0.000283844316776527	0.0002871121484350481	-0.001293949324653404	0.0007530882865181693	-0.0002714589045627047	8.911875460160257e-05	-5.115397852895574e-05	0.0005392896603387265	0.0004229649449010997	-0.001108972864545255	-0.0005100174538020807	0.0006208014566464748	0.0008262692299053423	0.0005972424144890243	0.0001750523014969474
0.0009171524675934961	-1.881848538422271e-06	-0.0009921485608088976	0.001331517261859219	-0.0002699720082348644	0.0009216614542407742	0.0001020421724780632	0.0001291118288951898	0.0005684324887932912	-0.001650730521241317	-0.001339159407453661	0.001762112687148223	0.0004999392299861842	5.554932384399525e-05	0.0002003391799120791
0.001099050442882499	-0.0003923328531809656	-0.001007363607674339	0.000467624243059496	0.001423432208781272	0.0006966626027733458	0.0002910127638534304	0.0007741713130452466	0.0004809509226198772	-0.001573233203007007	-0.001291671924838367	0.001284360521300668	0.00015632337168342	-0.0002052519057464675	0.000429589411496456
0.0002849738510947164	0.0001550753573424588	-0.0008403063221640028	0.0005910813694354703	0.00164718100546779	0.0005295930332250842	1.485471262648551e-05	0.000872095427656483	-0.0002168246244608207	-0.001249224226743229	-0.0007106014989824994	0.0007992349352255457	-0.0006221243989365383	-0.0004168278118823754	0.00111806360477007
-0.0001375003672170472	0.0008730871091101253	-0.002285499522215489	0.001359582799275092	0.002722338380107936	0.0006526782929392461	-0.0004471502958647844	0.0006343365133044121	-0.001064119837901278	-0.00161612572965103	-0.0008919342025738297	-0.0004616990268806048	-0.0007944922617163057	-0.0001673041788916863	0.0005775767595254111
0.0001587800043120202	0.001261543457090744	-0.002680347078286266	0.00163869122852638	0.00267489763094908	0.000129817782371533	0.0001208701111034254	0.001595635482829816	-0.001285985389547245	-0.001890417938622324	-0.0007192417909726023	0.0002174822912881097	-0.001367025365264427	0.0007330693912291353	0.001332160516002601
-0.0005409002711236344	0.001560692897912781	-0.0029977535987179	0.001205035841135424	0.00303645686685039	0.0001746408042442305	-0.0006422425004529077	0.001914009265331362	-0.00148785684689022	-0.002390718572334805	-0.0008063745928642563	-0.0001355176065527819	-0.0005742769413696475	0.0007234895019684329	0.00201032535780582
-0.0002603924638997501	0.001659120307900559	-0.002090868386953881	0.001101411950947978	0.003899758219018556	-0.0004240722801792662	-0.001237255515433583	0.00117226736935061	-0.0006745897400597528	-0.002487903476807107	-0.0003149308166596754	-0.0008470314747279495	-0.0001366103199853461	9.035663801143512e-06	0.0008735084562239703
